"","actbillscc1","actbillscc10","actbillscc11","actbillscc2","actbillscc3","actbillscc4","actbillscc5","actbillscc6","actbillscc7","actbillscc8","actbillscc9","age","age_grp","billscc","brrise","desavebcs1","desavebcs2","desavebcs3","desavebcs4","desavebcs5","desavebcs6","dfihhyr","dfihhyrchg","fihhyr2","fisc_impact1","fisc_impact2","fisc_impact3","fisc_impact4","fisc_impact5","fisc_impact6","fisc_impact7","fisc_impact8","fisc_likact1","fisc_likact2","fisc_likact3","fisc_likact4","fisc_likact5","fisc_likact6","fisc11_act1","fisc11_act2","fisc11_act3","fisc11_act4","fisc11_act5","fisc11_act6","fisc11_conc1","fisc11_conc2","fisc11_conc3","fisc11_conc4","fisc11_conc5","fisc11_conc6","fisc11_conc7","fisc11_conc8","forebeareffsec","forebeareffunsec","forebearsec1","forebearsec2","forebearsec3","forebearsec4","forebearsec5","forebearsec6","forebearsec7","forebearsec8","forebearunsec1","forebearunsec2","forebearunsec3","forebearunsec4","forebearunsec5","hscntcr1","hscntcr2","hscrchg","hsval","huresp","intmg","jbstat","mastat","mg1tot","nvesttot","pubsecty","region","saveamount","savebcs1","savebcs10","savebcs11","savebcs12","savebcs13","savebcs2","savebcs3","savebcs4","savebcs5","savebcs6","savebcs7","savebcs8","savebcs9","savingch","sex","soc","subsid","tenure","uncert","uncertch","us","usa","usb","usc","usd","use","usg","ush","usi","usj","ustot","weight","xphpdf","xphsdf","xpmg","xpus"
"123","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",57,"55 - 64","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"<=199","up >£100","£11,500-£13,499","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,"I would be behind on my loan payments",NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no","no","no","no","not applicable","not applicable","not applicable","not applicable","long-term sick/disab","marrried or couple","not applicable","None","don't know","South East","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","E",20377782,"Local authority rented","good idea","no change","yes","no","no","yes","yes","no","no","no","no","no","£1,000-£1,499",0.871596976,"no","no","not applicable","£30-£39"
"124","no","no","no","no","no","yes","no","no","no","no","no",35,"35 - 44","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£300-£399","down >£100","£30,000-£39,999","yes","no","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","yes","no","yes","no","yes","no","no","no",NA,"I would be behind on my loan payments",NA,NA,NA,NA,NA,NA,NA,NA,"yes","no","no","no","no","yes","no","harder","not applicable","not applicable","not applicable","in paid employ","marrried or couple","not applicable","<£500","yes","South East","<=25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","C1",20377908,"Private rented","vague idea","less certain","yes","yes","yes","yes","no","no","no","yes","no","no","£4,500-£4,999",1.02191595,"heavy","no","not applicable","£100-£119"
"125","no","no","no","no","no","no","no","yes","no","no","no",59,"55 - 64","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","down >£100","£6,500-£7,499","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","in paid employ","widowed/divorced/separated","not applicable","refused","no","East Midlands","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","C2",20382883,"Owned outright","vague idea","less certain","no","no","no","no","no","no","no","no","no","no","not applicable",0.912163707,"not applicable","no","not applicable","not applicable"
"126","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",69,"65+","keeping up without much difficulty","£0-49",NA,NA,NA,NA,NA,NA,"<=199","don't know","£9,500-£11,499","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","not applicable","£100,000-£124,999","yes","standard variable rate (SVR)","retired","widowed/divorced/separated","£10,000-£19,999","£10,000 - £12,499","no","South East","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Male","C2",20387688,"Owned mortgage","refused","don't know","yes","no","no","yes","no","no","no","no","no","no","<£200",1.06768057,"no","no","£100-£149","£100-£119"
"127","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",22,"18 - 24","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£300-£399","up >£100","£13,500-£15,499","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no",NA,NA,NA,NA,NA,NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","easier","not applicable","not applicable","not applicable","FT student","never married","not applicable","£10,000 - £12,499","no","Scotland","£100-£149","no","no","no","yes","no","no","no","no","no","no","yes","yes","no","Increase by £100-£149 a month","Male","B",20394381,"Private rented","good idea","more certain","yes","no","no","no","no","no","no","no","yes","no","£20,000-£24,999",1.30210284,"somewhat","no","not applicable","<£10"
"128","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",66,"65+","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"refused","don't know","refused","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,"no","no","yes","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","don't know",NA,"yes","not applicable","retired","marrried or couple","not applicable","refused","no","Scotland","don't know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","C2",20395126,"Owned outright","vague idea","don't know","no","no","no","no","no","no","no","no","no","no","not applicable",0.987637585,"not applicable","no","not applicable","not applicable"
"129","no","no","no","no","no","no","no","yes","no","no","no",27,"25 - 34","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£900-£999","no change","£30,000-£39,999","yes","no","no","no","no","no","no","no",NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","not applicable","not applicable","not applicable","not applicable","in paid employ","never married","not applicable","None","yes","East Midlands","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C1",20401567,"Private rented","vague idea","no change","yes","yes","no","yes","no","no","no","no","yes","no","<£200",1.12666739,"somewhat","no","not applicable","refused"
"130","no","no","no","no","no","no","no","yes","yes","no","no",59,"55 - 64","keeping up, struggle from time to time",NA,"yes","no","no","no","no","no","£1,000-£1,199","down >£100","£40,000-£49,999","no","no","yes","yes","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","no","yes","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","the same",NA,"yes","not applicable","retired","marrried or couple","not applicable","£30,000 - £34,999","yes","East Midlands","£400-£449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decrease by £300 or more a month","Male","B",20404925,"Owned outright","vague idea","less certain","yes","no","no","yes","no","no","no","no","no","yes","<£200",1.15438906,"no","no","not applicable","£10-£19"
"131","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",63,"55 - 64","keeping up without much difficulty",NA,"yes","no","no","no","no","no","£300-£399","down <£50","£25,000-£29,999","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","retired","marrried or couple","not applicable","£40,000 - £44,999","yes","North West","£50-£99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decrease by less than £50 a month","Male","C1",20407241,"Owned outright","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",0.89550986,"not applicable","no","not applicable","not applicable"
"132","no","no","no","no","no","no","no","yes","yes","no","no",67,"65+","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","down £50-£100","£17,500-£24,999","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","no","yes","no",NA,NA,"Dont know","Dont know","Dont know","Dont know","Dont know","Dont know","Dont know","Dont know","no","no","no","no","yes","no","no","not applicable","not applicable","no","not applicable","retired","marrried or couple","not applicable","refused","yes","South West","£50-£99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","C1",20409296,"Owned mortgage","good idea","don't know","yes","no","yes","no","no","no","no","yes","no","no","don't know",0.886499749,"somewhat","no","not applicable","don't know"
"133","no","no","no","no","no","no","no","yes","yes","no","no",47,"45 - 54","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"<=199","down <£50","£17,500-£24,999","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","no",NA,NA,NA,NA,NA,NA,"yes","no","no","no","no","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","not applicable","£300,000-£349,999","yes","don't know","in paid employ","widowed/divorced/separated","£130,000-£149,999","£6,000 - £6,999","yes","South East","none","no","no","yes","no","no","no","no","no","no","no","no","no","yes","Increase by less than £50 a month","Female","D",20409984,"Owned mortgage","vague idea","no change","yes","no","no","yes","no","no","no","yes","yes","no","£2,500-£2,999",0.895657712,"somewhat","no","£500-£549","£90-£99"
"134","no","no","no","no","no","no","no","no","no","no","yes",46,"45 - 54","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£1,600-£1,799","down £50-£100","£30,000-£39,999","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","yes","yes","yes","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","not applicable","not applicable","not applicable","not applicable","in paid employ","never married","not applicable","£30,000 - £34,999","no","Greater London","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","A",20410507,"Local authority rented","vague idea","less certain","yes","no","no","yes","yes","no","no","yes","no","no","£15,000-£19,999",1.48442572,"somewhat","yes","not applicable","£220-£239"
"135","no","no","yes","no","no","no","no","no","no","no","no",38,"35 - 44","keeping up, struggle from time to time","£50-99","yes","yes","no","no","no","no","£1,400-£1,599","down £50-£100","£30,000-£39,999","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","yes","no","no","no","no",NA,NA,"Dont know","Dont know","Dont know","Dont know","Dont know","Dont know","Dont know","Dont know",NA,NA,NA,NA,NA,"no","no","not applicable","£175,000-£199,999","yes","base rate tracker","something else","marrried or couple","£30,000-£39,999","£4,000 - £4,999","no","South East","£400-£449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decrease by £100-£149 a month","Male","B",20412497,"Owned mortgage","vague idea","less certain","no","no","no","no","no","no","no","no","no","no","not applicable",1.18847832,"not applicable","no","£500-£549","not applicable"
"136","no","no","no","no","no","no","no","yes","no","no","no",42,"35 - 44","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","down >£100","£9,500-£11,499","no","no","yes","yes","no","no","no","no","no","no","yes","no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","the same","not applicable","not applicable","not applicable","in paid employ","never married","not applicable","<£500","no","East Midlands","<=25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","C1",20419752,"Private rented","vague idea","less certain","no","no","no","no","no","no","no","no","no","no","not applicable",1.07846635,"not applicable","yes","not applicable","not applicable"
"137","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",69,"65+","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£1,800-£1,999","up <£50","£30,000-£39,999","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","in paid employ","widowed/divorced/separated","not applicable","£75,000 - £99,999","no","South East","£500-£599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C1",20442191,"Owned outright","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",1.04202401,"not applicable","no","not applicable","not applicable"
"138","no","no","no","no","no","no","no","no","no","no","yes",55,"55 - 64","keeping up, struggle from time to time","Dont know",NA,NA,NA,NA,NA,NA,"don't know","down £50-£100","£30,000-£39,999","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes",NA,NA,NA,NA,NA,"no","no","not applicable","£400,000-£449,999","yes","discounted","something else","marrried or couple","<£10,000","£75,000 - £99,999","no","Scotland","don't know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","B",20442284,"Owned mortgage","vague idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",1.05623898,"not applicable","no","<£100","not applicable"
"139","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",57,"55 - 64","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£1,800-£1,999","no change","£75,000-£99,999","no","no","no","yes","yes","no","no","no",NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","not applicable",NA,"yes","not applicable","in paid employ","marrried or couple","not applicable","£75,000 - £99,999","no","South East","£1,000-£1,499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","C2",20442663,"Owned outright","good idea","no change","yes","yes","no","no","no","no","no","no","no","no","£6,500-£6,999",0.864333547,"no","no","not applicable","£140-£159"
"140","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",51,"45 - 54","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£1,000-£1,199","no change","£40,000-£49,999","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,"no","yes","no","no","no","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes",NA,NA,NA,NA,NA,"no","no","not applicable","£350,000-£399,999","yes","fixed","unemployed","marrried or couple","£100,000-£109,999","£100,000 - £149,999","no","South East","£1,000-£1,499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Male","B",20443085,"Owned mortgage","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",1.21726161,"not applicable","no","£850-£899","not applicable"
"141","no","no","no","no","no","no","no","yes","yes","no","no",44,"35 - 44","keeping up, constant struggle",NA,"no","no","no","yes","no","no","don't know","down £50-£100","don't know","no","no","yes","no","no","no","no","no",NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","don't know","not applicable",NA,"yes","not applicable","self employed","never married","not applicable","£20,000 - £24,999","no","East Midlands","don't know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decrease by £50-£99 a month","Male","A",20444934,"Owned outright","no idea","less certain","no","no","no","no","no","no","no","no","no","no","not applicable",1.27522444,"not applicable","no","not applicable","not applicable"
"142","no","no","no","no","no","no","no","yes","yes","no","no",52,"45 - 54","keeping up, struggle from time to time",NA,"no","yes","no","no","yes","no","£500-£599","down >£100","£30,000-£39,999","no","no","yes","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","not applicable","not applicable","not applicable","not applicable","in paid employ","widowed/divorced/separated","not applicable","£20,000 - £24,999","no","Scotland","150-£199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decrease by £150-£199 a month","Male","B",20445355,"Private rented","good idea","less certain","yes","no","yes","yes","no","no","no","no","no","no","£1,500-£1,999",1.52086987,"somewhat","no","not applicable","£240-£259"
"143","no","no","no","no","no","no","no","no","yes","no","no",69,"65+","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"600-£699","down >£100","£15,500-£17,499","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","retired","marrried or couple","not applicable","£9,000 - £9,999","no","North","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","C1",20446948,"Owned outright","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",0.864945697,"not applicable","no","not applicable","not applicable"
"144","no","no","no","no","no","no","no","no","no","no","yes",36,"35 - 44","falling behind on some",NA,NA,NA,NA,NA,NA,NA,"<=199","down £50-£100","£11,500-£13,499","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","yes","no","not applicable","not applicable","not applicable","not applicable",NA,"marrried or couple","not applicable","None","yes","Greater London","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","B",20449334,"Private rented","no idea","less certain","yes","no","no","no","no","no","yes","yes","yes","no",">=£30,000",1.30109961,"somewhat","yes","not applicable","refused"
"145","no","no","no","no","no","no","no","yes","no","no","no",62,"55 - 64","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£300-£399","no change","£17,500-£24,999","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,"I would be up to date with my loan payments, but it would be a struggle",NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","yes","no","yes","no","not applicable",NA,"yes","not applicable","in paid employ","never married","not applicable","<£500","yes","South East","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","D",20450712,"Owned outright","good idea","no change","yes","no","yes","yes","no","no","no","no","no","no","£15,000-£19,999",0.903547141,"somewhat","no","not applicable","£200-£219"
"146","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",69,"65+","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£200-£299","don't know","£15,500-£17,499","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","the same",NA,"yes","not applicable","retired","marrried or couple","not applicable","£30,000 - £34,999","no","North West","£50-£99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","E",20451738,"Owned outright","vague idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",0.784109526,"not applicable","no","not applicable","not applicable"
"147","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",62,"55 - 64","keeping up without much difficulty",NA,"no","yes","no","no","yes","no","600-£699","down >£100","£17,500-£24,999","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,"no","no","no","yes","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","the same",NA,"yes","not applicable","retired","marrried or couple","not applicable","£20,000 - £24,999","no","North","£400-£449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decrease by £50-£99 a month","Male","C2",20455110,"Owned outright","good idea","no change","yes","no","no","yes","no","no","no","no","no","yes","£500-£999",0.904182838,"no","no","not applicable","£90-£99"
"148","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",24,"18 - 24","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£4,000-£4,999","no change",">=£100,000","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,NA,"no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","not applicable","£350,000-£399,999","yes","fixed","in paid employ","never married","£90,000-£99,999","£10,000 - £12,499","no","Scotland","£900-£999","no","no","no","no","no","no","no","no","no","no","no","no","yes","Increase by £300 or more a month","Male","A",20455706,"Owned mortgage","good idea","no change","yes","yes","no","no","no","no","no","no","no","no","£1,000-£1,499",1.19316611,"no","no","£400-£449","£140-£159"
"149","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",21,"18 - 24","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"don't know","no change","£17,500-£24,999","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable","not applicable","not applicable","not applicable","in paid employ","never married","not applicable","None","no","North West","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Male","E",20457590,"Private rented","no idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",0.917015924,"not applicable","no","not applicable","not applicable"
"150","no","no","no","no","no","no","no","yes","no","no","no",23,"18 - 24","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"don't know","don't know","£30,000-£39,999","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,"no","no","yes","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable","not applicable","no","not applicable","self employed","never married","not applicable","don't know","no","North West","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C2",20457748,"Owned mortgage","vague idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",0.959107603,"not applicable","no","not applicable","not applicable"
"151","no","yes","no","no","yes","no","no","yes","no","no","no",65,"65+","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£300-£399","up £50-£100","£25,000-£29,999","no","no","no","yes","yes","no","no","no","yes","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","in paid employ","marrried or couple","not applicable","<£500","no","North West","<=25","no","no","no","yes","no","no","no","no","no","no","yes","no","no","Increase by less than £50 a month","Female","D",20458040,"Owned outright","good idea","more certain","no","no","no","no","no","no","no","no","no","no","not applicable",0.899294949,"not applicable","no","not applicable","not applicable"
"152","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",23,"18 - 24","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£1,000-£1,199","down >£100","£17,500-£24,999","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","the same","not applicable","not applicable","not applicable","in paid employ","marrried or couple","not applicable","£2,000 - £2,999","no","Greater London","£250-£299","no","no","no","no","no","no","no","no","no","no","yes","no","no","Increase by £50-£99 a month","Female","C1",20459395,"Private rented","vague idea","no change","yes","no","no","yes","no","no","no","no","no","no","<£200",1.0091782,"no","no","not applicable","<£10"
"153","no","no","no","no","no","no","no","no","no","no","yes",43,"35 - 44","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","don't know","£4,500-£6,499","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes",NA,NA,NA,NA,NA,"no","no","not applicable","£100,000-£124,999","yes","capped","long-term sick/disab","never married","£30,000-£39,999","£5,000 - £5,999","no","West Midlands","<=25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","E",20461464,"Owned mortgage","no idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",0.903331779,"not applicable","no","£200-£249","not applicable"
"154","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",23,"18 - 24","don't know",NA,NA,NA,NA,NA,NA,NA,"£300-£399","down £50-£100","£13,500-£15,499","no","no","no","no","no","no","yes","no","don't know","don't know","don't know","don't know","don't know","don't know",NA,NA,NA,NA,NA,NA,"yes","no","yes","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","don't know","don't know","don't know","don't know","no","no","not applicable","not applicable","no","not applicable","FT student","never married","not applicable","£12,500 - £14,999","no","Wales","£25-£49","no","no","no","no","no","no","no","no","no","no","yes","no","no","Increase by less than £50 a month","Female","C1",20463089,"Owned mortgage","no idea","no change","yes","no","no","no","yes","no","no","no","yes","no","£15,000-£19,999",0.918889027,"somewhat","don't know","not applicable","don't know"
"155","no","no","no","no","no","no","no","yes","yes","no","no",54,"45 - 54","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£1,000-£1,199","down £50-£100","£30,000-£39,999","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","yes","no","no","yes","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","in paid employ","marrried or couple","not applicable","£12,500 - £14,999","yes","West Midlands","£50-£99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","B",20466260,"Owned outright","good idea","less certain","no","no","no","no","no","no","no","no","no","no","not applicable",1.3061086,"not applicable","no","not applicable","not applicable"
