"","Variable Name","Description","X__1","Values","Notes"
"480","hscntcr1","Have your been put off spending because you are concerned that you will not be able to get credit when you need it?",0,"Yes","Available from 2011 onwards"
"481",NA,NA,NA,"No",NA
"482",NA,NA,NA,"Don't know",NA
"483",NA,NA,NA,"Prefer not to state",NA
"484","hscntcr2","Would you like to borrow any more at the moment but find it too expensive or difficult to do so?",NA,"Yes","Available in 2011"
"485",NA,NA,NA,"No",NA
"486",NA,NA,NA,"Don't know",NA
"487",NA,NA,NA,"Prefer not to state",NA
"488","hscrchg","Have your found it easier or harder to borrow to finance spending than a year ago?",1,"Harder","Available from 2011 to 2013"
"489",NA,NA,2,"Easier",NA
"490",NA,NA,3,"The same",NA
"491","newloan","Have you applied for one of more new loans (including mortgage applications) over the past year?",NA,"Yes","Available from 2012 to 2013"
"492",NA,NA,NA,"No",NA
"493",NA,NA,NA,"Don't know",NA
"494",NA,NA,NA,"Prefer not to state",NA
"495","outloan","What was the final outcome of your loan application(s)?",NA,"I got the loan(s) I applied for without any difficulty","Available from 2012 to 2013"
"496",NA,NA,NA,"I eventually got the loan(s) I wanted, but only after some difficulty",NA
"497",NA,NA,NA,"I got the loan(s) that I applied for, but they were more costly than I had anticipated",NA
"498",NA,NA,NA,"I decided not to take up the loan(s) I applied for because they were more costly than I had anticipated",NA
"499",NA,NA,NA,"I was refused the loan(s) or was unable to borrow as much as I would have liked",NA
"500",NA,NA,NA,"My application is still ongoing",NA
"501",NA,NA,NA,"Don't know",NA
"502",NA,NA,NA,"Prefer not to state",NA
"503","nomortgage","Would you like to buy a property but  are unable to obtain a mortgage?",NA,"Yes","Available from 2013"
"504",NA,NA,NA,"No",NA
"505",NA,NA,NA,"Don't know",NA
"506",NA,NA,NA,"Refused",NA
"507",NA,NA,NA,"Not applicable",NA
"508","deposit","Would you like to buy a property but  are unable to obtain a mortgage because of the deposit requirement?",NA,"Yes","Available in 2012"
"509",NA,NA,NA,"No",NA
"510",NA,NA,NA,"Don't know",NA
"511",NA,NA,NA,"Prefer not to state",NA
"512","deposits_m","Deposit savings (continuous measure)",NA,"£ []","Available from 2014"
"513","refmortg1","What are the reasons you are unable to obtain a mortgage?",NA,"I don't have a large enough deposit","Available from 2013"
"514","refmortg2",NA,NA,"I would be unable to afford monthly repayments",NA
"515","refmortg3",NA,NA,"I might not be able to afford the monthly repayments if interest rates rise",NA
"516","refmortg4",NA,NA,"My credit record is not strong enough",NA
"517","refmortg5",NA,NA,"My personal circumstance",NA
"518","refmortg6",NA,NA,"Other",NA
"519","refmortg7",NA,NA,"Don't know",NA
"520","refmortg8",NA,NA,"Prefer not to state",NA
"521","depositsave","How long have you been saving in order to build up a large enough deposit?",NA,"Haven't started saving yet","Available in 2012"
"522",NA,NA,NA,"Less than a year",NA
"523",NA,NA,NA,"1 year",NA
"524",NA,NA,NA,"2 years",NA
"525",NA,NA,NA,"3 years",NA
"526",NA,NA,NA,"4 years",NA
"527",NA,NA,NA,"5 years",NA
"528",NA,NA,NA,"6 years",NA
"529",NA,NA,NA,"7 years",NA
"530",NA,NA,NA,"8 years",NA
"531",NA,NA,NA,"More than 8 years",NA
"532",NA,NA,NA,"Don't know",NA
"533",NA,NA,NA,"Prefer not to state",NA
"534","timedeposit","How much longer do you expect to have to save to obtain a large enough deposit to buy a property?",NA,"Less than a year","Available in 2012"
"535",NA,NA,NA,"1 year",NA
"536",NA,NA,NA,"2 years",NA
"537",NA,NA,NA,"3 years",NA
"538",NA,NA,NA,"4 years",NA
"539",NA,NA,NA,"5 years",NA
"540",NA,NA,NA,"6 years",NA
"541",NA,NA,NA,"7 years",NA
"542",NA,NA,NA,"8 years",NA
"543",NA,NA,NA,"More than 8 years",NA
"544",NA,NA,NA,"Don't know",NA
"545",NA,NA,NA,"Prefer not to state",NA
"546","hhincfall","To the best of your knowledge, how likely is it that your household income will fall sharply over the next year or so (for example, because you or someone in your household are made redundant)?",NA,"Not very likely - my household income is very secure","Available from 2013"
"547",NA,NA,NA,"Not likely, but there is a small chance of  a sharp fall in my household income",NA
"548",NA,NA,NA,"Quite likely - my household income could fall sharply",NA
"549",NA,NA,NA,"Don't know",NA
"550",NA,NA,NA,"Prefer not to state",NA
"551","conhhinc","Are you more concerned now than a year ago, that your household income will fall sharply over the next year or so?",NA,"Yes","Available from 2012 to 2013"
"552",NA,NA,NA,"No",NA
"553",NA,NA,NA,"Don't know",NA
"554",NA,NA,NA,"Prefer not to state",NA
"555","fisc_impact1","In 2010, the government announced a set of measures in order to cut the country's budget deficit. Some of these measures have already come into effect. How have these measures affected your household over the past year? MAX 3 ANSWERS",1,"Loss/reduction of my income benefits","Available in 2011 and 2012"
"556","fisc_impact2",NA,2,"Lost my job or my partner’s job","*Wording of fisc_impact4 changed between 2011 and 2012. In 2011 survey referred to 'lower income'"
"557","fisc_impact3",NA,3,"There has been a cut back on services which I use/have used",NA
"558","fisc_impact4",NA,4,"Lower pre-tax employment income","*Available in 2015, with fisc_impact9 and 10 added but due to addition of routing question (fisc_effect) fisc_impact6 and 7 were not options"
"559","fisc_impact5",NA,5,"Higher taxes",NA
"560","fisc_impact6",NA,6,"I do not think I have been heavily affected",NA
"561","fisc_impact7","fisc_impact6 AND fisc_impact7 ARE MUTUTALLY EXCLUSIVE",7,"I have not really thought about it",NA
"562","fisc_impact8",NA,8,"Other",NA
"563","fisc_impact9",NA,NA,"Don't know",NA
"564","fisc_impact10",NA,NA,"Prefer not to state",NA
"565","fisc11_act1","Which, if any, of the following actions have you taken in response to those measures? Please select just three of the following. MAX 3 ANSWERS",1,"Saved more","Available in 2011 and 2012"
"566","fisc11_act2",NA,2,"Spent more","Available in 2015 with additional options, fisc11_act7-10"
"567","fisc11_act3",NA,3,"Looked for and/or found a new job",NA
"568","fisc11_act4",NA,4,"Worked longer hours / taken a second or better paid job",NA
"569","fisc11_act5",NA,5,"I have not taken any action",NA
"570","fisc11_act6","fisc11_act5 IS MUTUALLY EXCLUSIVE",6,"Other",NA
"571","fisc11_act7",NA,NA,"Saved less",NA
"572","fisc11_act8",NA,NA,"Spent less",NA
"573","fisc11_act9",NA,NA,"Don't know",NA
"574","fisc11_act10",NA,NA,"Prefer not to state",NA
"575","fisc11_conc1","Some of the government's measures will come into effect over coming years. Which of the following are you most concerned about for the future? MAX 3 ANSWERS",1,"Loss/reduction of my income benefits","Available in 2011 and 2012"
"576","fisc11_conc2",NA,2,"Losing my job or my partner’s job","*Wording of fisc_impact4 changed between 2011 and 2012. In 2011 survey referred to 'lower income'"
"577","fisc11_conc3",NA,3,"There might be a cut back on services which I use/have used","Available in 2015 with additional option fisc11_conc9"
"578","fisc11_conc4",NA,4,"Lower pre-tax employment income",NA
"579","fisc11_conc5",NA,5,"Higher taxes",NA
"580","fisc11_conc6","fisc11_conc6 AND fisc11_conc7 ARE MUTUTALLY EXCLUSIVE",6,"I do not think I will be heavily affected",NA
"581","fisc11_conc7",NA,7,"I have not really thought about it",NA
"582","fisc11_conc8",NA,8,"Other",NA
"583","fisc11_conc9",NA,NA,"Prefer not to state",NA
"584","fisc_likact1","Which, if any of the following actions will you take in response to those measures? MAX 3 ANSWERS",1,"Save more","Available in 2011 and 2012"
"585","fisc_likact2",NA,2,"Spend more","Available in 2015 with additional options, fisc_likact7-10"
"586","fisc_likact3",NA,3,"Look for a new job",NA
"587","fisc_likact4",NA,4,"Work longer hours / take a second or better paid job",NA
"588","fisc_likact5",NA,5,"I don't plan to take any action but may if the need arises",NA
"589","fisc_likact6","fisc_likact5 IS MUTUALLY EXCLUSIVE",6,"Other",NA
"590","fisc_likact7",NA,NA,"Save less",NA
"591","fisc_likact8",NA,NA,"Spend less",NA
"592","fisc_likact9",NA,NA,"Don't know",NA
"593","fisc_likact10",NA,NA,"Prefer not to state",NA
"594","forebearsec1","Are you or your household currently benefitting from any of the options below to help ease the burden of your mortgage? Please include options that you are benefitting from that were permitted in the original terms of your mortgage as well as those that were not. Do not include any general benefit you may be getting from the current low interest rates.",1,"A (temporary or permanent) switch from a repayment mortgage to an interest only (or part repayment/part interest only) mortgage","Available in 2011 only"
"595","forebearsec2",NA,2,"A reduction in interest rate offered due to difficulties in making payments",NA
"596","forebearsec3",NA,3,"Having a (part or full) mortgage payment holiday",NA
"597","forebearsec4",NA,4,"Having lower monthly payments due to having extended the term of your mortgage in the past",NA
"598","forebearsec5",NA,5,"Having had mortgage arrears added to your outstanding mortgage balance (capitalisation) in the past",NA
"599","forebearsec6",NA,6,"Claiming Support for Mortgage Interest (SMI)",NA
"600","forebearsec7","RANDOMISE ORDERS OF CODES",7,"Another change to the terms of an existing mortgage to help ease the burden of payment",NA
"601","forebearsec8",NA,8,"None of these  i.e. did not need help to meet payments or did not request / was not granted any of the above",NA
"602","forebeareffsec","If you had not made this change, which of the following would describe your likely situation?",1,"I would be up to date with my mortgage payments, without much struggle.","Available in 2011 only"
"603",NA,NA,2,"I would be up to date with my mortgage payments, but it would be a struggle",NA
"604",NA,"ASKED IF ANY OF forebearsec1-forebearsec7=1",3,"I would be behind on my mortgage payments by less than 6 months of payments",NA
"605",NA,NA,4,"I would be behind on my mortgage payments by 6 months or more of payments",NA
"606","forebearunsec1","Are you or your household currently benefitting from any of the following actions / changes to your loan agreement to help ease the burden of your debt (other than mortgage debt)?",1,"A Debt Management Plan (DMP), Debt Relief Order (DRO), Bankruptcy order or IVA","Available in 2011 only"
"607","forebearunsec2",NA,2,"Making token payments to creditors",NA
"608","forebearunsec3","RANDOMISE ORDERS OF CODES",3,"Having lower monthly payments due to having extended the term of your loan in the past",NA
"609","forebearunsec4",NA,4,"Another change to the terms of an existing unsecured loan to help ease the burden of payment",NA
"610","forebearunsec5",NA,5,"None of the above (did not need help to meet payments or did not request / was not granted any of the above)",NA
"611","forebeareffunsec","If you had not made this change, which of the following would describe your likely situation?",1,"I would be up to date with my loan payments, without much struggle","Available in 2011 only"
"612",NA,NA,2,"I would be up to date with my loan payments, but it would be a struggle",NA
"613",NA,"ASK IF ANY OF forebearunsec1-forebearunsec4=1",3,"I would be behind on my loan payments",NA
"614","uncert","How certain are you that you know what your household income will be a year from now?",1,"I have a good idea of what my household income will be in a year’s time","Available in 2011 only"
"615",NA,NA,2,"I have a vague idea of what my household income will be in a year’s time",NA
"616",NA,NA,3,"I have no idea what my household income will be in a year’s time",NA
"617","uncertch","And how, if at all, has your certainty about your future household income changed over the past year?",1,"I have become less certain","Available in 2011 only"
"618",NA,NA,2,"No change",NA
"619",NA,NA,3,"I have become more certain",NA
"620","hr_m_resp1","If your monthly mortgage payments were to increase for a sustained period by £x [which is calculated automatically from software as the payment increase under a two percentage point increase in interest rates], how do you think you would respond? Please assume your income would not be any higher unless you take action to increase it.",NA,"Cut back on spending","Available from 2014 to 2015 and in 2017"
"621","hr_m_resp2",NA,NA,"Reduce the amount put aside as saving each month.",NA
"622","hr_m_resp3",NA,NA,"Take up paid employment myself",NA
"623","hr_m_resp4",NA,NA,"Someone else in my household would take up paid employment",NA
"624","hr_m_resp5",NA,NA,"Work longer hours / take a second or better paid job",NA
"625","hr_m_resp6","MAX 3 ANSWERS",NA,"Get financial help from family / relatives",NA
"626","hr_m_resp7","RANDOMISE ORDERS OF 1 to 9",NA,"Request a change to your mortgage with the lender",NA
"627","hr_m_resp8","ONLY ALLOW 3 TO BE SELECTED IF NOT IN FULL OR PART-TIME PAID EMPLOYMENT OR SELF-EMPLOYED",NA,"Move to a cheaper property",NA
"628","hr_m_resp9",NA,NA,"Sell your property and rent",NA
"629","hr_m_resp10",NA,NA,"Other",NA
"630","hr_m_resp11",NA,NA,"Don’t know",NA
"631","hr_m_resp12",NA,NA,"Prefer not to state",NA
"632","hr_m_resp13",NA,NA,"Pay less than the required amount","Available from 2017"
"633","mgarrears","In the past 12 months have you ever found yourself more than two months behind with your mortgage payments (known as being ‘in arrears’)? Please exclude any pre-arranged payment holidays.",NA,"Yes","Available from 2014"
"634",NA,NA,NA,"No",NA
"635",NA,NA,NA,"Don't know",NA
"636",NA,NA,NA,"Prefer not to state",NA
"637","hr_us_resp1","If your monthly unsecured loan payments were to increase for a sustained period by £x [which is calculated automatically from software as the payment increase under a two percentage point increase in interest rates], how do you think you would respond? Please assume your income would not be any higher unless you take action to increase it.",NA,"Cut back on spending","Available from 2014 to 2015, and in 2017"
"638","hr_us_resp2",NA,NA,"Reduce the amount put aside as saving each month",NA
"639","hr_us_resp3",NA,NA,"Take up paid employment myself",NA
"640","hr_us_resp4",NA,NA,"Someone else in my household would take up paid employment",NA
"641","hr_us_resp5",NA,NA,"Work longer hours / take a second or better paid job",NA
"642","hr_us_resp6","MAX 3 ANSWERS",NA,"Get financial help from family / relatives",NA
"643","hr_us_resp7","RANDOMISE ORDER OF 1 to 7",NA,"Request a change to your loan with the lender(s)",NA
"644","hr_us_resp8","ONLY ALLOW 3 TO BE SELECTED IF NOT IN FULL OR PART-TIME PAID EMPLOYMENT OR SELF-EMPLOYED",NA,"Other",NA
"645","hr_us_resp9","ONLY ASK IF HOLD UNSECURED DEBT>£4,999",NA,"Don’t know",NA
"646","hr_us_resp10",NA,NA,"Prefer not to state",NA
"647","hr_us_resp11",NA,NA,"Pay less than the required amount","Available from 2017"
"648","hr_uspayinc","Increase in unsecured loan repayments if rates rise 2%.",NA,"£ []","Available from 2017"
"649","expryr","Do you expect to buy a property to live in, or trade up to a more expensive property, within the next twelve months?",NA,"Yes","Available in 2014"
"650",NA,NA,NA,"No",NA
"651",NA,NA,NA,"Don't know",NA
"652",NA,NA,NA,"Prefer not to state",NA
"653","hr_sav_resp1","If the monthly interest you receive on your savings were to increase for a sustained period by £x [which is calculated automatically from software as the payment increase under a two percentage point increase in interest rates], how do you think you would respond? Please assume your other sources of income would not change.",NA,"Increase spending","Available from 2014 to 2015"
"654","hr_sav_resp2",NA,NA,"Work fewer hours",NA
"655","hr_sav_resp3",NA,NA,"Put more money into savings accounts",NA
"656","hr_sav_resp4",NA,NA,"Other",NA
"657","hr_sav_resp5",NA,NA,"Do nothing (i.e. allow the additional interest to accumulate in my saving account)",NA
"658","hr_sav_resp6","RANDOMISE ORDER OF 1 to 3",NA,"Don’t know",NA
"659","hr_sav_resp7","ONLY ASK IF HOLD SAVINGS>£4,999",NA,"Prefer not to state",NA
"660","hr_saviinc","Increase in savings interest if rates rise 2%.",NA,"£ []","Available from 2017"
"661","hourswilling","Earlier you mentioned that you are currently unemployed and seeking work. About how many hours in a week do you think you would be able to work?",NA,"Hours []","Available in 2014"
"662",NA,NA,NA,"Don't know",NA
"663",NA,"ASK IF UNEMPLOYED AND SEEKING WORK",NA,"Prefer not to state",NA
"664","unemppayexp","What weekly take-home pay would you expect to get for working [INSERT HOURS FROM 'housrwilling'] hours per week?",NA,"£ []","Available in 2014"
"665",NA,NA,NA,"Don't know",NA
"666",NA,"ASK UNLESS DON’T KNOW OR 0 AT 'hourswilling'",NA,"Prefer not to state",NA
"667","lowestwage","What is the lowest weekly take-home pay you would consider accepting for a job?",NA,"£ []","Available in 2014"
"668",NA,NA,NA,"Don't know",NA
"669",NA,"ASK IF UNEMPLOYED AND SEEKING WORK",NA,"Prefer not to state",NA
"670","unempminhours","About how many hours in a week would you expect to have to work to be paid [INSERT AMOUNT FROM 'lowestwage'?",NA,"Hours []","Available in 2014"
"671",NA,NA,NA,"Don't know",NA
"672",NA,"ASK UNLESS DON’T KNOW AT 'lowestwage'",NA,"Prefer not to state",NA
"673","numproperties","How many properties (excluding your family home) do you own?",NA,"1","Available in 2014"
"674",NA,"ASK IF OWN ANOTHER PROPERTY and property owned for BTL purposes",NA,"2",NA
"675",NA,NA,NA,"3",NA
"676",NA,NA,NA,"4",NA
"677",NA,NA,NA,"5",NA
"678",NA,NA,NA,"6",NA
"679",NA,NA,NA,"More than 6",NA
"680",NA,NA,NA,"Prefer not to state",NA
"681","numproperties_cash","How many of your properties (excluding your family home) did you buy with cash rather than a mortgage?",NA,"0","Available in 2014"
"682",NA,NA,NA,"1",NA
"683",NA,"ASK IF OWN ANOTHER PROPERTY and property owned for BTL purposes",NA,"2",NA
"684",NA,NA,NA,"3",NA
"685",NA,NA,NA,"4",NA
"686",NA,NA,NA,"5",NA
"687",NA,NA,NA,"6",NA
"688",NA,NA,NA,"More than 6",NA
"689",NA,NA,NA,"Prefer not to state",NA
"690","btl_inc1","How would you respond if the rental income on one of the properties you own other than your main family home was less than the cost of its mortgage?",NA,"Use my own income/savings to fund the mortgage","Available in 2014"
"691","btl_inc2",NA,NA,"Use rental income from other properties I own to fund the mortgage",NA
"692","btl_inc3",NA,NA,"Request a change in the terms of the mortgage",NA
"693","btl_inc4","ASK IF OWN ANOTHER PROPERTY and property owned for BTL purposes",NA,"Sell the property",NA
"694","btl_inc5","MAX 2 ANSWERS",NA,"Other",NA
"695","btl_inc6","RANDOMISE ORDER OF 1 to 4",NA,"Don’t know",NA
"696","btl_inc7",NA,NA,"Prefer not to state",NA
"697","bought_year","When did you buy your current home?",NA,NA,"Available from 2014"
"698",NA,"ASK IF MORTGAGOR AND RESPONSIBLE FOR FINANCIAL DECISION MAKING",NA,NA,NA
"699","chmort_year","When did you last take out a mortgage or secured loan on your main home, or make a change to the amount borrowed on an existing mortgage or secured loan on this property?",NA,NA,"Available from 2014"
"700",NA,"ASK IF MORTGAGOR AND RESPONSIBLE FOR FINANCIAL DECISION MAKING",NA,NA,NA
"701","chininc","How does the current annual income of the whole of your household (before deductions) compare with what it was when you last took out a mortgage or secured loan on your main home, or made a change to the amount borrowed on an existing mortgage or secured loan on this property?",NA,"Increased a lot","Available in 2014"
"702",NA,"ASK RESPONDENTS TO chmort_year",NA,"Increased  slightly",NA
"703",NA,NA,NA,"Roughly unchanged",NA
"704",NA,NA,NA,"Decreased  slightly",NA
"705",NA,NA,NA,"Decreased a lot",NA
"706",NA,NA,NA,"Don’t know",NA
"707",NA,NA,NA,"Prefer not to state",NA
"708",NA,NA,NA,NA,NA
"709","ci_down_a","You indicated in your answer to the previous question that your  current annual household income (before deductions) has fallen from what it was  when you last made a change to your mortgage. What were the main reasons why your income fell?

",NA,"Moved to a new job with lower  salary or bonus","Available in 2014"
"710","ci_down_b","ASK IF HOUSEHOLD RESPONDED  ""DECREASED SLIGHTLY"" OR ""DECREASED A LOT"" IN chininc",NA,"Salary or bonus in existing job has reduced",NA
"711","ci_down_c",NA,NA,"Now working fewer hours / part time",NA
"712","ci_down_d",NA,NA,"Was made redundant / lost job",NA
"713","ci_down_e",NA,NA,"Moved from working to studying",NA
"714","ci_down_f",NA,NA,"Accident / long term sickness",NA
"715","ci_down_g",NA,NA,"Retirement",NA
"716","ci_down_h",NA,NA,"Household break-up",NA
"717","ci_down_j",NA,NA,"Income earner passed away",NA
"718","ci_down_l",NA,NA,"Other",NA
"719","ci_up_a","Have any of the following changes occurred in your household since [INSERT ANSWER FROM chmort_year] when you last made a change to your mortgage?",NA,"One (or more) wage  earners has/have joined the household (e.g. new partner who goes out to work)","Available in 2014"
"720","ci_up_b",NA,NA,"One (or more) wage  earners has/have left the household (e.g. have separated or got divorced)",NA
"721","ci_up_c","ASK IF INCOME INCREASED OR UNCHANGED SINCE LAST MADE CHANGE TO MORTGAGE",NA,"One (or more) wage earners have stopped working or reduced their hours by 21 hours or more per week (e.g. have retired or given up work to look after the home)",NA
"722","ci_up_d",NA,NA,"One (or more) main wage earners have started working or increased their hours by 21 hours or more per week (e.g. returned to work)",NA
"723","ci_up_e",NA,NA,"None of the above",NA
"724","hpexp1","How much would you expect house prices in your region to change over the next twelve months?",NA,"Decrease by more than 20%","Available from 2014"
"725",NA,NA,NA,"Decrease by 10% - 20%",NA
"726",NA,NA,NA,"Decrease by 5% - 9.9%",NA
"727",NA,NA,NA,"Decrease by 1% - 4.9%",NA
"728",NA,NA,NA,"No change",NA
"729",NA,NA,NA,"Increase by 1% - 4.9%",NA
"730",NA,NA,NA,"Increase by 5% - 9.9%",NA
"731",NA,NA,NA,"Increase by 10% - 20%",NA
"732",NA,NA,NA,"Increase by more than 20%",NA
"733",NA,NA,NA,"Don’t know",NA
"734","btl1","Do you currently own any property other than your main family home?",NA,"Yes","Available in 2014"
"735",NA,NA,NA,"No",NA
"736",NA,NA,NA,"Don’t know",NA
"737",NA,NA,NA,"Prefer not to state",NA
"738","btlr1","Selecting from the below, what are the main reasons you currently own property other than your main family home?",NA,"To get income from rent","Available in 2014"
"739","btlr2","ASK IF HOUSEHOLD RESPONDED THAT THEY OWN PROPERTY IN btl1",NA,"For investment purposes as I expect its value to increase",NA
"740","btlr3",NA,NA,"To keep the property to potentially live there in the future",NA
"741","btlr4",NA,NA,"As a result of family circumstances (for example, moving in with a partner, inheritance)",NA
"742","btlr5",NA,NA,"As a second/holiday home for part of the year",NA
"743","btlr6",NA,NA,"For family members to live in",NA
"744","btlr7",NA,NA,"To fund my retirement",NA
"745","btlr8",NA,NA,"Other",NA
"746","btl2","Other than your main home, do you expect to buy an(other) additional property (e.g. holiday home, buy-to-let property) in the next twelve months?",NA,"Yes","Available in 2014"
"747",NA,NA,NA,"No",NA
"748",NA,NA,NA,"Don’t know",NA
"749",NA,NA,NA,"Prefer not to state",NA
"750","yexp_d","Over the next twelve months, how do you expect your household income (before anything is deducted for tax, National Insurance, pension schemes etc.) to change?",NA,"Increase","Available from 2014"
"751",NA,NA,NA,"Stay the same",NA
"752",NA,NA,NA,"Decrease",NA
"753",NA,NA,NA,"Don’t know",NA
"754",NA,NA,NA,"Prefer not to state",NA
"755","yexp","By how much do you expect your household income (before anything is deducted for tax, National Insurance, pension schemes etc.) to increase/decrease over the next twelve months? Please enter a percentage change.
",NA,NA,"Available from 2014"
"756","changehhinc","Has your household received more or less money, from both work and non-work sources, over the last 12 months than you would have expected this time last year?",NA,"More","Available in 2014"
"757",NA,NA,NA,"About the same",NA
"758",NA,NA,NA,"Less",NA
"759","morehhinc","Compared to what you expected this time last year, how much more money did your household receive over the last 12 months? Please specify an approximate annual amount in pounds.",NA,NA,"Available in 2014"
"760",NA,"ASK IF HOUSEHOLD RESPONDED THAT THEY RECEIVED ""MORE"" IN morehhinc",NA,NA,NA
"761","temporperminc","Are you treating this unexpected increase in money received by your household as:",NA,"A temporary increase","Available in 2014"
"762",NA,"ASK IF HOUSEHOLD RESPONDED THAT THEY RECEIVED ""MORE"" IN morehhinc",NA,"An increase that is likely to persist",NA
"763",NA,NA,NA,"Don’t know",NA
"764",NA,NA,NA,"Prefer not to state",NA
"765","lesshhinc","Compared to what you expected this time last year, how much less money did your household receive over the last 12 months? Please specify an approximate annual amount in pounds.",NA,NA,"Available in 2014"
"766",NA,"ASK IF HOUSEHOLD RESPONDED THAT THEY RECEIVED ""LESS"" IN morehhinc",NA,NA,NA
"767","temporpermdec","Are you treating this unexpected decrease in money received by your household as:",NA,"A temporary decrease","Available in 2014"
"768",NA,"ASK IF HOUSEHOLD RESPONDED THAT THEY RECEIVED ""LESS"" IN morehhinc",NA,"A decrease that is likely to persist",NA
"769",NA,NA,NA,"Don’t know",NA
"770",NA,NA,NA,"Prefer not to state",NA
"771","changespend","How did you change your annual spending in response to this unexpected change in money received by your household?",NA,"Spent more","Available in 2014"
"772",NA,"ASK IF HOUSEHOLD RESPONDED THAT THEY RECEIVED ""MORE"" OR ""LESS"" IN morehhinc",NA,"Spent the same",NA
"773",NA,NA,NA,"Spent less",NA
"774","morespend","You indicated earlier in the survey that your household received more over the last 12 months than you had expected a year ago. By how much did you increase your annual spending in response to this?",NA,NA,"Available in 2014"
"775",NA,"ASK IF HOUSEHOLD RESPONDED THAT THEY ""SPENT MORE"" IN changespend",NA,NA,NA
"776","lessspend","You indicated earlier in the survey that your household received  more/less over the last 12 months than you had expected a year ago. By how much did you decrease your annual spending in response to this?",NA,NA,"Available in 2014"
"777",NA,"ASK IF HOUSEHOLD RESPONDED THAT THEY ""SPENT LESS"" IN changespend",NA,NA,NA
"778","workingstatus","Which one of these applies to you?",NA,"Have paid job - full time (30+ hours per week)","Available from 2014"
"779",NA,NA,NA,"Have paid job - part time (up to 29 hours per week)",NA
"780",NA,NA,NA,"Self-employed",NA
"781",NA,NA,NA,"Full time student/still at school",NA
"782",NA,NA,NA,"Unemployed and seeking work",NA
"783",NA,NA,NA,"Retired",NA
"784",NA,NA,NA,"Not in paid work because of long term illness or disability",NA
"785",NA,NA,NA,"Not in paid work for other reason",NA
"786",NA,NA,NA,"Prefer not to state",NA
"787","numberchildren","How many children live in your household (those aged under 16)?",NA,NA,"Available from 2014"
"788","nadult","Number of adults in household",NA,NA,"Available from 2016"
"789","otheradults","Excluding yourself, how many other adults live in your household (those aged 16 or over)?",NA,NA,"Available from 2014-2015 and in 2017"
"790","expire_year2","When does your fixed interest rate deal expire?",NA,"2016","Available from 2014"
"791",NA,"ASK IF HOUSEHOLD RESPONDED ""FIXED"" IN intmg",NA,"2017",NA
"792",NA,NA,NA,"2018",NA
"793",NA,NA,NA,"2019 or later",NA
"794",NA,NA,NA,"Don’t know",NA
"795",NA,NA,NA,"Prefer not to state",NA
"796","statusadults1","Please enter the number of other adults in your household (excluding yourself) who fall into each of the below categories.",NA,"Self-employed","Available from 2014"
"797","statusadults2","ASK IF otheradults >0",NA,"Have paid job (full time and part time)",NA
"798","statusadults3",NA,NA,"Unemployed and seeking work",NA
"799","statusadults4",NA,NA,"Retired",NA
"800","statusadults6",NA,NA,"Full time student/still at school",NA
"801","statusadults7",NA,NA,"Not in paid work because of long term illness or disability",NA
"802","statusadults10",NA,NA,"Not in paid work for other reason",NA
"803","statusadultsref",NA,NA,"Prefer not to state",NA
"804","billamount_m","When reporting your monthly income after paying tax, National Insurance, housing costs (e.g. rent and mortgage repayments), loan repayments (e.g. personal loans, credit cards) and bills (e.g. electricity and council tax) how much did you allow for bills?",NA,NA,"Available in 2014"
"805",NA,"ASK RESPONDENTS TO dfihhyr",NA,NA,NA
"806","intval_m","Could you state the approximate interest rate you are currently paying on your mortgage(s) or loan(s) related to your main home? If you have more than one mortgage or loan, please state the interest rate on the largest loan.",NA,NA,"Available from 2014"
"807","be10b_m","About how much do you think your monthly mortgage payments could increase by for a sustained period without you having to take some kind of action to find the extra money e.g. cut spending, work longer hours, or request a change to your mortgage?",NA,NA,"Available from 2014"
"808",NA,"ASK IF HOUSEHOLD RESPONDED  ""DISCOUNTED"", ""BASE RATE TRACKER"" OR ""STANDARD VARIABLE RATE"" IN intmg",NA,NA,NA
"809","be10c_m","About how much do you think your monthly mortgage payments could increase by for a sustained period without you having to take some kind of action to find the extra money e.g. cut spending, work longer hours, or request a change to your mortgage?",NA,NA,"Available from 2014"
"810",NA,"ASK IF HOUSEHOLD RESPONDED  ""FIXED"" OR ""CAPPED"" IN intmg",NA,NA,NA
"811","intexp1","The level of interest rates set by the Bank of England (Bank Rate) is currently 0.25%. At what level do you expect that interest rate to be in one year from now?",NA,"0 - 0.24%","Available from 2014"
"812",NA,NA,NA,"2.5000000000000001E-3","Before 2015 options between 0 and 0.9% were grouped into one option"
"813",NA,NA,NA,"0.26 - 0.49%","Changed to 'currently 0.25%' in 2016"
"814",NA,NA,NA,"5.0000000000000001E-3","Added to options in 2016:"
"815",NA,NA,NA,"0.51-0.9%","0 - 0.24%"
"816",NA,NA,NA,"1 - 1.9%","2.5000000000000001E-3"
"817",NA,NA,NA,"2 - 2.9%","0.26 - 0.49%"
"818",NA,NA,NA,"3 - 3.9%",NA
"819",NA,NA,NA,"4 - 4.9%",NA
"820",NA,NA,NA,"5% or more",NA
"821",NA,NA,NA,"Don’t know",NA
"822","intexp2","The level of interest rates set by the Bank of England (Bank Rate) is currently 0.25%. At what level do you expect that interest rate to be in two year from now?",NA,"0 - 0.24%","Available from 2014"
"823",NA,NA,NA,"2.5000000000000001E-3","Before 2015 options between 0 and 0.9% were grouped into one option"
